iter	Passed	Remaining
320	11136	6210
321	11171	6175
322	11205	6140
323	11240	6105
324	11275	6071
325	11310	6036
326	11344	6002
327	11378	5967
328	11413	5932
329	11447	5897
330	11482	5862
331	11517	5828
332	11551	5793
333	11585	5758
334	11620	5723
335	11655	5688
336	11692	5655
337	11727	5621
338	11763	5586
339	11799	5552
340	11834	5518
341	11870	5483
342	11906	5449
343	11940	5415
344	11975	5380
345	12010	5345
346	12044	5310
347	12078	5275
348	12112	5240
349	12146	5205
350	12180	5170
351	12214	5135
352	12249	5101
353	12283	5066
354	12318	5031
355	12353	4996
356	12388	4962
357	12423	4927
358	12458	4893
359	12492	4858
360	12526	4823
361	12560	4788
362	12595	4753
363	12630	4719
364	12667	4685
365	12703	4650
366	12739	4616
367	12774	4582
368	12810	4547
369	12844	4512
370	12878	4478
371	12913	4443
372	12948	4408
373	12983	4374
374	13018	4339
375	13052	4304
376	13086	4269
377	13120	4234
378	13154	4199
379	13189	4165
380	13223	4130
381	13258	4095
382	13292	4060
383	13327	4025
384	13361	3991
385	13396	3956
386	13430	3921
387	13464	3886
388	13498	3851
389	13533	3817
390	13567	3782
391	13601	3747
392	13636	3712
393	13672	3678
394	13709	3644
395	13746	3610
396	13783	3576
397	13818	3541
398	13853	3506
399	13887	3471
400	13922	3437
401	13957	3402
